Time	Voltage
0.0235	-0.00318913557640955
0.023625	-0.00447089341573205
0.02375	-0.00410467689021134
0.023875	-0.00343327992675669
0.024	-0.00331120775158312
0.024125	-0.00495918211642634
0.02425	-0.00416571297779812
0.024375	-0.00410467689021134
0.0245	-0.00416571297779812
0.024625	-0.00370794232089723
0.02475	-0.00395208667124437
0.024875	-0.0038300144960708
0.025	-0.00434882124055848
0.025125	-0.00364690623331044
0.02525	-0.00410467689021134
0.025375	-0.00404364080262455
0.0255	-0.00355535210193027
0.025625	-0.00389105058365759
0.02575	-0.00410467689021134
0.025875	-0.00361638818951705
0.026	-0.0034027618829633
0.026125	-0.00373846036469062
0.02625	-0.00437933928435187
0.026375	-0.00306706340123598
0.0265	-0.00398260471503777
0.026625	-0.00321965362020294
0.02675	-0.00337224383916991
